,productType,year,profit
0,단기금융,2022,0.91
1,주식형,2022,-43.44
2,주식형,2022,-45.19
3,주식형,2022,-28.92
4,재간접,2022,-12.25
5,재간접,2022,-19.13
6,주식형,2022,-46.98
7,재간접,2022,1.76
8,재간접,2022,-37.55
9,재간접,2022,-28.16
10,단기금융,2022,1.73
11,주식형,2022,-23.28
12,재간접,2022,-35.89
13,주식형,2022,-52.67
14,재간접,2022,-14.67
15,재간접,2022,-27.91
16,주식형,2022,-49.7
17,재간접,2022,-9.87
18,단기금융,2022,1.18
19,재간접,2022,-32.27
20,혼합주식형,2022,-32.23
21,재간접,2022,-13.27
22,재간접,2022,-12.1
23,주식형,2022,-54.05
24,주식형,2022,-55.25
25,주식형,2022,-58.15
26,재간접,2022,1.4
27,단기금융,2022,1.59
28,재간접,2022,-20.92
29,재간접,2022,-8.65
30,재간접,2022,-46.91
31,주식형,2022,-64.26
32,재간접,2022,-12.17
33,재간접,2022,-14.89
34,주식형,2022,-41.07
35,주식형,2022,-51.58
36,재간접,2022,-6.15
37,단기금융,2022,1.27
38,재간접,2022,-38.61
39,주식형,2022,-31.5
40,혼합주식형,2022,-28.47
41,주식형,2022,-35.64
42,재간접,2022,-18.07
43,재간접,2022,-2.04
44,혼합주식형,2022,-27.58
45,혼합채권형,2022,-9.68
46,주식형,2022,-62.64
47,채권형,2022,-0.67
48,단기금융,2022,1.7
49,재간접,2022,1.14
50,재간접,2022,-15.61
51,단기금융,2022,1.62
52,단기금융,2022,1.43
53,재간접,2022,-5.02
54,재간접,2022,-15.05
55,재간접,2022,-114.96
56,채권형,2022,0.91
57,재간접,2022,-20.42
58,재간접,2022,-21.21
59,주식형,2022,-19.93
60,채권형,2022,-2.04
61,혼합주식형,2022,-159.32
62,혼합채권형,2022,-20.96
63,재간접,2022,-42.71
64,채권형,2022,-5.8
65,재간접,2022,-1.96
66,재간접,2022,-25.27
67,혼합주식형,2022,-29.35
68,재간접,2022,-8.04
69,재간접,2022,-9.93
70,채권형,2022,-11.06
71,재간접,2022,-19.1
72,재간접,2022,-30.28
73,주식형,2022,-26.17
74,재간접,2022,-9.19
75,주식형,2022,-34.16
76,혼합주식형,2022,-58.22
77,재간접,2022,-32.07
78,재간접,2022,-55.29
79,단기금융,2022,1.51
80,채권형,2022,-1.25
81,재간접,2022,-1.44
82,주식형,2022,-24.51
83,주식형,2022,-55.44
84,주식형,2022,-32.03
85,재간접,2022,-57.76
86,주식형,2022,-61.0
87,재간접,2022,-63.92
88,단기금융,2022,1.82
89,주식형,2022,-17.77
90,파생상품,2022,-19.26
91,주식형,2022,-36.56
92,재간접,2022,-30.18
93,주식형,2022,-53.38
94,단기금융,2022,1.75
95,재간접,2022,-9.77
96,재간접,2022,-123.71
97,주식형,2022,-53.38
98,채권형,2022,-9.83
99,채권형,2022,-3.13
100,혼합채권형,2022,-12.27
101,재간접,2022,-38.68
102,재간접,2022,-21.33
103,재간접,2022,-21.41
104,재간접,2022,-14.97
105,파생상품,2022,-28.0
106,주식형,2022,-12.12
