"업종별(1)",업종별(2),업종별(3),업종별(4),2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"업종별(1)",업종별(2),업종별(3),업종별(4),합계,생산능력 확충,생산능력 확충,생산능력 확충,생산능력 확충,생산능력 확충,유지보수,자동화,에너지 및 환경관련투자,연구개발투자(R&D),기타,합계,생산능력 확충,생산능력 확충,생산능력 확충,생산능력 확충,생산능력 확충,유지보수,자동화,에너지 및 환경관련투자,연구개발투자(R&D),기타,합계,생산능력 확충,생산능력 확충,생산능력 확충,생산능력 확충,생산능력 확충,유지보수,자동화,에너지 및 환경관련투자,연구개발투자(R&D),기타,합계,생산능력 확충,생산능력 확충,생산능력 확충,생산능력 확충,생산능력 확충,유지보수,자동화,에너지 및 환경관련투자,연구개발투자(R&D),기타,합계,생산능력 확충,생산능력 확충,생산능력 확충,생산능력 확충,생산능력 확충,유지보수,자동화,에너지 및 환경관련투자,연구개발투자(R&D),기타,합계,생산능력 확충,생산능력 확충,생산능력 확충,생산능력 확충,생산능력 확충,유지보수,자동화,에너지 및 환경관련투자,연구개발투자(R&D),기타,합계,생산능력 확충,생산능력 확충,생산능력 확충,생산능력 확충,생산능력 확충,유지보수,자동화,에너지 및 환경관련투자,연구개발투자(R&D),기타,합계,생산능력 확충,생산능력 확충,생산능력 확충,생산능력 확충,생산능력 확충,유지보수,자동화,에너지 및 환경관련투자,연구개발투자(R&D),기타,합계,생산능력 확충,생산능력 확충,생산능력 확충,생산능력 확충,생산능력 확충,유지보수,자동화,에너지 및 환경관련투자,연구개발투자(R&D),기타
"업종별(1)",업종별(2),업종별(3),업종별(4),소계,소계,유형별,유형별,수요별,수요별,소계,소계,소계,소계,소계,소계,소계,유형별,유형별,수요별,수요별,소계,소계,소계,소계,소계,소계,소계,유형별,유형별,수요별,수요별,소계,소계,소계,소계,소계,소계,소계,유형별,유형별,수요별,수요별,소계,소계,소계,소계,소계,소계,소계,유형별,유형별,수요별,수요별,소계,소계,소계,소계,소계,소계,소계,유형별,유형별,수요별,수요별,소계,소계,소계,소계,소계,소계,소계,유형별,유형별,수요별,수요별,소계,소계,소계,소계,소계,소계,소계,유형별,유형별,수요별,수요별,소계,소계,소계,소계,소계,소계,소계,유형별,유형별,수요별,수요별,소계,소계,소계,소계,소계
"업종별(1)",업종별(2),업종별(3),업종별(4),소계,소계,신제품 생산,설비의 확장,국내수요대비,수출수요대비,소계,소계,소계,소계,소계,소계,소계,신제품 생산,설비의 확장,국내수요대비,수출수요대비,소계,소계,소계,소계,소계,소계,소계,신제품 생산,설비의 확장,국내수요대비,수출수요대비,소계,소계,소계,소계,소계,소계,소계,신제품 생산,설비의 확장,국내수요대비,수출수요대비,소계,소계,소계,소계,소계,소계,소계,신제품 생산,설비의 확장,국내수요대비,수출수요대비,소계,소계,소계,소계,소계,소계,소계,신제품 생산,설비의 확장,국내수요대비,수출수요대비,소계,소계,소계,소계,소계,소계,소계,신제품 생산,설비의 확장,국내수요대비,수출수요대비,소계,소계,소계,소계,소계,소계,소계,신제품 생산,설비의 확장,국내수요대비,수출수요대비,소계,소계,소계,소계,소계,소계,소계,신제품 생산,설비의 확장,국내수요대비,수출수요대비,소계,소계,소계,소계,소계
"전체",소계,소계,소계,1789565,1299109,458799,840310,918442,380666,247433,19549,8592,60504,154379,1807942,1288741,389701,899040,879925,408816,242613,21429,17942,63213,174004,1809099,1358015,437545,920470,905433,452582,213460,19995,11353,71236,135039,1897906,1383434,416697,966737,1010335,373099,274810,22477,18804,80647,117733,1677391,1222726,471638,751088,762372,460354,235649,23272,21764,72821,101160,1661730,1212325,470128,742197,785169,427156,225801,22343,19185,72887,109190,1663804,1205660,525157,680503,735311,470349,234294,16020,14559,74105,119165,1803561,1321248,577560,743689,777733,543516,247680,18147,16864,82933,116688,1869322,1390471,596763,793708,810187,580284,254726,18445,16781,81662,107237
"제조업",소계,소계,소계,848611,573894,169886,404008,236548,337347,133414,12654,7484,48870,72295,856855,578091,190145,387946,232161,345930,118632,11345,9756,54221,84810,878185,624195,214479,409716,221273,402922,103892,13866,7505,60375,68354,1059954,752848,240534,512315,421029,331820,149865,14060,9635,65481,68065,941630,680890,305893,374997,256730,424160,123587,15533,9687,55077,56857,894396,648552,273376,375177,253028,395525,107247,15182,9760,51749,61905,900647,648428,279864,368563,226602,421826,119401,13395,9463,54936,55026,1001566,730203,324339,405865,237334,492869,127201,15109,11776,62954,54323,1063662,780159,330766,449393,255870,524289,135477,15052,11211,64589,57174
"제조업",식료품,소계,소계,19710,11596,1418,10178,9510,2086,3819,838,351,598,2507,19730,11388,1992,9396,10871,517,3979,900,398,177,2888,24662,12340,2335,10005,11508,833,4580,2290,479,1970,3002,28703,16747,3799,12948,15688,1059,6053,1985,1162,659,2096,26994,12566,1629,10936,11809,757,6809,2319,1201,427,3672,32983,19617,2899,16718,18931,687,5790,1786,324,1032,4433,30813,13318,2698,10620,12475,843,8737,1955,516,1248,5039,34227,16260,2845,13415,14971,1289,10680,1900,635,1477,3275,33826,15841,2793,13048,14725,1115,11128,1954,697,1519,2687
"제조업",음료,소계,소계,3387,1173,246,927,1067,107,1292,20,247,51,604,5789,2835,1373,1462,2430,405,860,130,217,17,1730,5234,1861,865,996,1860,0,697,76,188,5,2408,4348,1534,132,1402,1458,75,837,5,142,123,1708,5220,1268,519,750,1268,0,936,53,27,13,2922,3594,968,425,543,968,0,393,50,26,26,2132,3425,1785,623,1162,1713,73,473,60,22,28,1058,3385,1638,476,1162,1572,66,571,93,10,28,1044,3409,1593,490,1103,1525,68,592,93,10,29,1092
"제조업",담배,소계,소계,2221,1030,1030,0,1030,0,338,0,0,0,853,2558,1024,1020,4,1024,0,364,0,0,0,1171,2343,256,7,249,234,22,471,0,1,4,1612,5400,189,45,144,175,14,96,0,0,13,5101,1907,66,16,51,61,5,42,0,1,5,1793,1833,64,15,49,59,5,37,0,0,4,1727,972,19,4,15,19,0,9,0,0,0,944,699,10,2,8,10,0,13,0,0,0,676,719,10,2,8,10,0,13,0,0,0,696
"제조업",섬유제품,소계,소계,3643,2124,117,2007,1110,1014,524,128,48,172,647,4236,1459,465,994,793,666,1979,59,23,446,269,2373,1363,156,1207,1188,174,487,92,8,43,380,1918,705,49,656,240,465,775,15,41,15,367,1713,631,7,624,459,172,765,0,0,11,306,1578,536,122,414,450,86,773,18,6,3,243,1911,467,48,419,337,130,489,32,0,4,918,1724,373,32,341,256,118,403,21,0,4,923,2789,402,39,363,272,131,538,22,0,4,1823
